#nucleus-nld-mass-strength-omp 127Bi-1-1-1-1
      E       f(M1)        f(E1)        T(M1)        T(E1)
5.00000E-03 2.36144E-12 2.53489E-13 1.85467E-18 1.99090E-19
1.00000E-02 4.72289E-12 5.06977E-13 2.96748E-17 3.18543E-18
2.00000E-02 9.44585E-12 1.01395E-12 4.74800E-16 5.09669E-17
5.00000E-02 2.36159E-11 2.53489E-12 1.85479E-14 1.99090E-15
1.00000E-01 4.72413E-11 5.06977E-12 2.96826E-13 3.18543E-14
2.00000E-01 9.45575E-11 2.02879E-11 4.75298E-12 1.01978E-12
3.00000E-01 1.42024E-10 4.56757E-11 2.40938E-11 7.74870E-12
4.00000E-01 1.89717E-10 8.12730E-11 7.62896E-11 3.26818E-11
5.00000E-01 2.37712E-10 1.27157E-10 1.86699E-10 9.98687E-11
6.00000E-01 2.86088E-10 1.83276E-10 3.88269E-10 2.48736E-10
7.00000E-01 3.34923E-10 2.49890E-10 7.21804E-10 5.38546E-10
8.00000E-01 3.84299E-10 3.27000E-10 1.23629E-09 1.05196E-09
